entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_dollars,pnl_pct,exit_reason,capital_after
2025-12-12 15:45:00,2025-12-12 20:45:00,short,4290.494,4299.239,4360.624745829312,4150.232508341375,0.14,-12.24299999999985,-0.1224299999999985,timeout,9987.757
2025-12-15 16:00:00,2025-12-15 21:00:00,short,4303.381,4304.536,4353.282912750577,4203.577174498846,0.2,-2.3099999999994907,-0.023099999999994906,timeout,9985.447
2025-12-15 16:15:00,2025-12-15 21:15:00,short,4296.236,4303.838,4353.393204697886,4181.921590604227,0.17,-12.923399999999765,-0.12923399999999766,timeout,9972.5236
2025-12-16 05:30:00,2025-12-16 10:30:00,short,4279.454,4279.015,4321.431275638687,4195.499448722625,0.24,1.0535999999985506,0.010535999999985507,timeout,9973.5772
2025-12-29 14:00:00,2025-12-29 19:00:00,short,4398.612,4335.308,4483.5611732168645,4228.713653566271,0.12,75.96480000000011,0.7596480000000011,timeout,10049.542
2025-12-29 14:30:00,2025-12-29 19:30:00,short,4373.539,4332.281,4484.39210088597,4151.83279822806,0.09,37.13219999999983,0.37132199999999826,timeout,10086.6742
2025-12-29 15:00:00,2025-12-29 20:00:00,short,4342.69,4342.457,4483.517344641474,4061.0353107170513,0.07,0.1630999999994856,0.001630999999994856,timeout,10086.8373
2025-12-29 15:15:00,2025-12-29 20:15:00,short,4319.833,4340.625,4482.11678430994,3995.2654313801186,0.06,-12.475200000000221,-0.12475200000000221,timeout,10074.362099999998
2025-12-30 23:15:00,2025-12-31 04:15:00,short,4334.15,4346.515,4383.627256445748,4235.195487108504,0.2,-24.730000000001382,-0.24730000000001384,timeout,10049.632099999997
2026-01-02 15:00:00,2026-01-02 20:00:00,short,4340.49,4319.935,4407.760074055361,4205.949851889278,0.15,30.832499999999072,0.30832499999999075,timeout,10080.464599999996
2026-01-02 16:00:00,2026-01-02 21:00:00,short,4322.584,4329.02,4408.260371722594,4151.231256554812,0.12,-7.723200000000724,-0.07723200000000724,timeout,10072.741399999995
2026-01-05 13:15:00,2026-01-05 15:00:00,short,4399.52,4444.325233612833,4444.325233612833,4309.909532774336,0.22,-98.57151394823069,-0.9857151394823068,stop_loss,9974.169886051764
2026-01-08 05:30:00,2026-01-08 10:30:00,short,4418.64,4432.599,4463.972951093765,4327.974097812471,0.22,-30.709799999999632,-0.3070979999999963,timeout,9943.460086051764
2026-01-12 23:00:00,2026-01-13 04:00:00,short,4579.172,4597.533,4625.300438001515,4486.915123996968,0.22,-40.39420000000173,-0.4039420000000173,timeout,9903.065886051761
